Adipocyte_ID,Area_Pixels,Area_Microns_Squared,Centroid_X,Centroid_Y,Grid_ID,MPP_Used,Closest_Tumour_ID,Distance_To_Closest_Tumour,Distance_Bin
1,12048.0,2942.5268947199997,2664.394090305445,8317.124667994687,22,0.4942,,,
2,13552.0,3309.8542892799996,2790.0969598583233,8853.34681227863,22,0.4942,,,
3,9910.0,2420.3553724,3075.3360242179615,8263.882341069626,22,0.4942,,,
4,11317.0,2763.99210388,3031.695855792171,8828.22134841389,22,0.4942,,,
5,15303.0,3737.50739292,2687.051689211266,8182.7320786773835,22,0.4942,,,
6,6449.0,1575.06274436,3023.2727554659637,8421.626918902155,22,0.4942,,,
7,11406.0,2785.7288978399997,2800.3960196387866,8320.91136244082,22,0.4942,,,
8,11664.0,2848.74117696,2529.474022633745,8703.701303155007,22,0.4942,,,
9,6169.0,1506.6773251599998,3149.6809855730266,8863.101799319176,22,0.4942,,,
10,12051.0,2943.2595956399996,3081.461787403535,8620.542029707078,22,0.4942,,,
11,12671.0,3094.68445244,2851.1832530976244,8945.94191460816,29,0.4942,,,
12,8202.0,2003.2043152799997,2573.422579858571,8236.016215557182,22,0.4942,,,
13,7735.0,1889.1472053999998,5235.139495798319,10184.660892049127,30,0.4942,,,
14,11260.0,2750.0707863999996,2823.6403197158083,8218.94920071048,22,0.4942,,,
15,4853.0,1185.2658549199998,2733.17494333402,8780.631362044096,22,0.4942,,,
16,10812.0,2640.65411568,5324.4359045505,10104.798279689234,30,0.4942,,,
17,11915.0,2910.0438206,5538.628871170793,10144.154678976081,30,0.4942,,,
18,21480.0,5246.138587199999,3024.9658752327746,8524.049301675977,22,0.4942,,,
19,8719.0,2129.47310716,2924.7768092671176,8305.208854226403,22,0.4942,,,
20,10659.0,2603.2863687599997,2784.5100853738622,8419.077305563374,22,0.4942,,,
21,3749.0,915.6319163599999,2930.0514803947717,8875.037610029342,22,0.4942,,,
22,12002.0,2931.29214728,5844.945009165139,10238.593651058158,30,0.4942,,,
23,10542.0,2574.71103288,3167.9462151394423,8689.217985202049,22,0.4942,,,
24,10708.0,2615.25381712,5728.234777736272,10289.641109450879,30,0.4942,,,
25,13366.0,3264.42683224,11481.250112225049,4407.0198264252585,12,0.4942,,,
26,11143.0,2721.49545052,2877.783092524455,8501.846181459212,22,0.4942,,,
27,8352.0,2039.8393612799998,5183.072198275862,10256.748682950192,30,0.4942,,,
28,11360.0,2774.4941504,3028.045070422535,8727.009066901408,22,0.4942,,,
29,5494.0,1341.81961816,2717.8314524936295,8936.458864215509,29,0.4942,,,
30,13685.0,3342.3373633999995,5415.710924369748,10002.806430398246,30,0.4942,,,
31,9425.0,2301.902057,2643.9540583554376,8672.001803713529,22,0.4942,,,
32,17902.0,4372.270623279999,5557.882973969389,10018.52664506759,30,0.4942,,,
33,3051.0,745.1568356399999,11521.040970173714,4253.902654867256,12,0.4942,,,
34,8360.0,2041.7932303999999,3166.269976076555,8773.184090909092,22,0.4942,,,
35,7268.0,1775.0900955199997,2635.730049532196,8766.25178866263,22,0.4942,,,
36,14631.0,3573.3823868399995,5650.406739115577,10179.614448773153,30,0.4942,,,
37,16472.0,4023.0165180799995,3070.6317994171927,8942.02161243322,29,0.4942,,,
38,4904.0,1197.7217705599999,11555.235929853181,4338.8211663947795,12,0.4942,,,
39,8012.0,1956.79992368,5422.777708437344,10187.31627558662,30,0.4942,,,
40,11436.0,2793.0559070399995,2650.5121545995103,8860.093739069605,22,0.4942,,,
41,10403.0,2540.76255692,5493.301451504373,10257.562241661059,30,0.4942,,,
42,11181.0,2730.7763288399997,2810.6857168410697,8639.729809498256,22,0.4942,,,
43,15101.0,3688.1721976399995,5763.338785510893,10065.306204887094,30,0.4942,,,
44,8245.0,2013.7063617999997,2907.7978168587024,8403.937052759247,22,0.4942,,,
45,12653.0,3090.28824692,2574.906583418952,8410.197186438,22,0.4942,,,
46,6236.0,1523.04097904,2947.2931366260423,8638.16212315587,22,0.4942,,,
47,12259.0,2994.0601927599996,5608.355738640998,10303.851292927646,30,0.4942,,,
48,20742.0,5065.89416088,3167.370407868094,8382.094976376435,22,0.4942,,,
49,6492.0,1585.56479088,5443.50246457178,10094.789279112754,30,0.4942,,,
50,8489.0,2073.2993699599997,5296.80539521734,10003.457062080339,30,0.4942,,,
51,18109.0,4422.826986759999,5273.441548401347,10340.12104478436,30,0.4942,,,
52,10494.0,2562.9878181599997,2528.5352582428054,8823.725652753954,22,0.4942,,,
53,13991.0,3417.07285724,5697.539203773855,9984.51175755843,30,0.4942,,,
54,6297.0,1537.93923108,2778.648086390345,8537.909004287756,22,0.4942,,,
55,8584.0,2096.5015657599997,2701.8784948741845,8474.084808946878,22,0.4942,,,
56,5845.0,1427.5456258,5848.125235243798,10139.4499572284,30,0.4942,,,
57,20028.0,4891.51134192,2871.6163870581186,8739.655432394648,22,0.4942,,,
58,7110.0,1736.5011803999998,3026.0946554149086,8347.76722925457,22,0.4942,,,
59,12221.0,2984.77931444,5174.676785860404,10104.255461909828,30,0.4942,,,
60,7276.0,1777.0439646399998,3166.845107201759,8222.775563496427,22,0.4942,,,
61,7301.0,1783.1498056399998,2588.949595945761,8585.30173948774,22,0.4942,,,
62,3513.0,857.99277732,5875.675491033305,10065.335325932252,30,0.4942,,,
63,2741.0,669.4444072399999,3211.9343305363004,8281.523531557825,22,0.4942,,,
64,7649.0,1868.1431123599998,5196.635246437443,10014.434043665839,30,0.4942,,,
65,4408.0,1076.58188512,5334.600499092559,10198.350045372052,30,0.4942,,,
66,4413.0,1077.80305332,2570.200997054158,8501.806480852028,22,0.4942,,,
67,5296.0,1293.4613574399998,5398.622922960725,10291.233761329306,30,0.4942,,,
68,7347.0,1794.3845530799997,3194.4027494215325,8487.308697427521,22,0.4942,,,
69,3647.0,890.7200850799999,2966.990403071017,8242.148066904305,22,0.4942,,,
70,3465.0,846.2695625999999,2500.933044733045,8595.935642135642,22,0.4942,,,
71,2595.0,633.7862958,2470.2335260115606,8496.259730250482,22,0.4942,,,
72,3966.0,968.6306162399999,2739.817952597075,8711.506807866868,22,0.4942,,,
